SMILES,pIC50 (IC50 in microM),logP,MolecularWeight,RotatableBonds,AromaticProportion,TPSA,RingCount,HBA,HBD
ClC1=CC=C(C=C1)C1=CC=C(O1)C(=O)OC1=CN=CC(Cl)=C1,1.200659451,4.867600000000002,332.995948508,3,1.0,52.33,3,4,0
ClC1=CC(OC(=O)C2=C3C=CC=CC3=CC=C2)=CN=C1,BLINDED,4.107400000000002,283.04000624,2,1.0,39.19,3,3,0
CC1=CC(O)=NC(SCC(=O)NC2=CC=C(OC3=CC=C(Cl)C=C3)C=C2)=N1,BLINDED,4.667120000000002,401.060090052,6,0.8947368421052632,84.34,3,6,2
CC1=C(C=C(O1)C(C)(C)C)C1=NNC(NS(=O)(=O)C2=CC=CS2)=C1,BLINDED,4.137920000000003,365.0867834680001,4,0.6875,87.99000000000001,3,5,2
ClC(Cl)=C(Cl)C(=O)OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OC(=O)C(Cl)=C(Cl)Cl)C=C1,BLINDED,6.101200000000003,561.817275056,6,1.0,86.74000000000001,2,6,0
O=C1N(CC2=CC=C3C=CC=CC3=C2)C2=CC=C(C=C2C1=O)S(=O)(=O)N1CCCCC1,BLINDED,3.7439000000000027,434.1300281839999,4,0.75,74.76,5,4,0
IC1=CC=C2N(C\C=C\C3=CC4=CC=CC=C4S3)C(=O)C(=O)C2=C1,BLINDED,4.748600000000002,444.963347624,3,0.9473684210526316,37.38,4,3,0
CC1CCCCN1S(=O)(=O)C1=CC2=C(NC(=O)C2=O)C=C1,BLINDED,1.3845,308.08307799199997,2,0.5714285714285714,83.55000000000001,3,4,1
[O-][N+](=O)C1=CC=C(C=C1)C1=CC=C(O1)C(=O)OC1=CN=CC(Cl)=C1,BLINDED,4.122400000000002,344.01999906800006,4,1.0,95.47,3,6,0
CC(SC1=NC(C2=CC=CC=C2)=C(C#N)C(=O)N1)C(=O)NC1=CC=C(Cl)C=C1,BLINDED,4.081280000000002,410.0604244,5,0.9,98.63999999999999,3,5,2
CC(C)C1=CC=C(NC(=O)CSC2=NC(=CC=N2)C2=CC=CS2)C=C1,BLINDED,5.059300000000004,369.096954228,6,0.7894736842105263,54.88,3,5,1
